Model,Displacement,# of Cylinders,Transmission,Drive,Fuel,Type,City MPG,Highway MPG,Combined MPG
BMW X7 xDrive50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,15,21,17
BMW Z4,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,24,32,27
BMW Z4 M40i,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,24,31,26
BMW i3,0.6,2.0,Auto-1,2WD,Gasoline/Electricity,small car,30,31,31
BMW i3,,,Auto-1,2WD,Electricity,small car,124,102,113
BMW i3s,0.6,2.0,Auto-1,2WD,Gasoline/Electricity,small car,30,31,31
BMW i3s,,,Auto-1,2WD,Electricity,small car,124,102,113
BMW i8 Coupe,1.5,3.0,Auto-6,4WD,Gasoline/Electricity,small car,26,29,27
BMW i8 Roadster,1.5,3.0,Auto-6,4WD,Gasoline/Electricity,small car,26,29,27
BUGATTI Divo,8.0,16.0,AMS-7,4WD,Gasoline,small car,9,13,10
BUICK Enclave,3.6,6.0,Auto-9,2WD,Gasoline,standard SUV,18,26,21
BUICK Enclave,3.6,6.0,Auto-9,4WD,Gasoline,standard SUV,17,25,20
BUICK Encore,1.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,25,30,27
BUICK Encore,1.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,24,29,26
BUICK Encore GX,1.2,3.0,CVT,2WD,Gasoline,small SUV,26,30,28
BUICK Encore GX,1.3,3.0,Auto-9,4WD,Gasoline,small SUV,26,29,28
BUICK Envision,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,20,25,22
BUICK Envision,2.5,4.0,Auto-6,2WD,Gasoline,small SUV,22,29,25
BUICK Envision,2.5,4.0,Auto-6,4WD,Gasoline,small SUV,21,27,24
BUICK Regal,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,21,29,24
BUICK Regal,2.0,4.0,SemiAuto-9,2WD,Gasoline,midsize car,22,32,26
BUICK Regal,3.6,6.0,SemiAuto-9,4WD,Gasoline,midsize car,19,27,22
BUICK Regal Tour X,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,21,29,24
BYD e6,,,Auto-1,2WD,Electricity,small SUV,73,71,72
CADILLAC CT4,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,23,34,27
CADILLAC CT4,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,23,32,26
CADILLAC CT4,2.7,4.0,SemiAuto-10,2WD,Gasoline,small car,20,30,24
CADILLAC CT4,2.7,4.0,SemiAuto-10,4WD,Gasoline,small car,20,28,23
CADILLAC CT4 V,2.7,4.0,SemiAuto-10,2WD,Gasoline,small car,20,29,23
CADILLAC CT4 V,2.7,4.0,SemiAuto-10,4WD,Gasoline,small car,20,28,23
CADILLAC CT5,2.0,4.0,SemiAuto-10,2WD,Gasoline,midsize car,23,32,26
CADILLAC CT5,2.0,4.0,SemiAuto-10,4WD,Gasoline,midsize car,21,31,25
CADILLAC CT5 V,3.0,6.0,SemiAuto-10,2WD,Gasoline,midsize car,18,26,21
